date,open,high,low,close,volume,adj_close
2025-10-13,249.38,249.69,245.56,247.66,38142942,247.66
2025-10-14,246.6,248.845,244.7,247.77,35477986,247.77
2025-10-15,249.485,251.82,247.47,249.34,33893611,249.34
2025-10-16,248.25,249.04,245.13,247.45,39776974,247.45
2025-10-17,248.02,253.38,247.27,252.29,49146961,252.29
